X1,X2,X3,X4,X5,Y
1/1/2017 0:00,6.559,73.8,0.083,0.119,34055.6962
1/1/2017 0:10,6.414,74.5,0.083,0.085,29814.68354
1/1/2017 0:20,6.313,74.5,0.08,0.1,29128.10127
1/1/2017 0:30,6.121,75,0.083,0.096,28228.86076
1/1/2017 0:40,5.921,75.7,0.081,0.085,27335.6962
1/1/2017 0:50,5.853,76.9,0.081,0.108,26624.81013
1/1/2017 1:00,5.641,77.7,0.08,0.096,25998.98734
1/1/2017 1:10,5.496,78.2,0.085,0.093,25446.07595
1/1/2017 1:20,5.678,78.1,0.081,0.141,24777.72152
1/1/2017 1:30,5.491,77.3,0.082,0.111,24279.49367
1/1/2017 1:40,5.516,77.5,0.081,0.108,23896.70886
1/1/2017 1:50,5.471,76.7,0.083,0.126,23544.3038
1/1/2017 2:00,5.059,78.6,0.081,0.096,23003.5443
1/1/2017 2:10,4.968,78.8,0.084,0.134,22329.11392
1/1/2017 2:20,4.975,78.9,0.083,0.152,22092.1519
1/1/2017 2:30,4.897,79.1,0.083,0.096,21903.79747
1/1/2017 2:40,5.02,79.7,0.081,0.134,21685.06329
1/1/2017 2:50,5.407,78.5,0.082,0.163,21484.55696
1/1/2017 3:00,5.169,77.9,0.083,0.108,21107.8481
1/1/2017 3:10,5.081,77.7,0.084,0.13,20998.48101
1/1/2017 3:20,5.041,77.2,0.081,0.152,20870.88608
1/1/2017 3:30,5.034,76.9,0.083,0.185,20870.88608
1/1/2017 3:40,4.896,76.6,0.085,0.137,20597.46835
1/1/2017 3:50,4.805,76.2,0.081,0.134,20421.26582
1/1/2017 4:00,4.753,75.7,0.083,0.134,20524.55696
1/1/2017 4:10,4.901,74.4,0.083,0.122,20482.02532
1/1/2017 4:20,5.203,74.1,0.085,0.096,20530.63291
1/1/2017 4:30,5.394,71.9,0.081,0.1,20512.40506
1/1/2017 4:40,5.156,74,0.079,0.148,20494.17722
1/1/2017 4:50,5.179,74.2,0.083,0.137,20311.89873
1/1/2017 5:00,4.934,72.9,0.082,0.134,20542.78481
1/1/2017 5:10,4.718,75.8,0.08,0.152,20621.77215
1/1/2017 5:20,5.546,74,0.082,0.093,20627.8481
1/1/2017 5:30,4.658,73.5,0.08,0.104,20797.97468
1/1/2017 5:40,4.382,76.9,0.081,0.148,20858.73418
1/1/2017 5:50,4.212,78.3,0.081,0.082,21393.41772
1/1/2017 6:00,4.308,77.2,0.081,0.126,22219.74684
1/1/2017 6:10,4.735,74.3,0.08,0.156,21928.10127
1/1/2017 6:20,4.769,75.6,0.082,0.063,21776.20253
1/1/2017 6:30,4.92,73.7,0.083,0.096,21654.68354
1/1/2017 6:40,4.408,76.7,0.082,0.119,21466.32911
1/1/2017 6:50,4.29,77,0.085,0.193,20846.58228
1/1/2017 7:00,4.304,76,0.082,0.152,19983.79747
1/1/2017 7:10,4.513,74.6,0.084,0.134,18908.35443
1/1/2017 7:20,4.489,74.3,0.082,0.119,18167.08861
1/1/2017 7:30,4.356,72.3,0.082,0.119,18075.94937
1/1/2017 7:40,4.478,72.2,0.083,0.089,18063.79747
1/1/2017 7:50,4.583,71,0.083,0.104,18045.56962
1/1/2017 8:00,4.794,72,0.084,0.145,18385.82278
1/1/2017 8:10,4.807,73.1,0.082,0.949,18987.34177
1/1/2017 8:20,4.757,73.5,0.083,3.134,19576.70886
1/1/2017 8:30,4.509,74.5,0.084,6.494,19837.97468
1/1/2017 8:40,4.346,74.8,0.082,10.13,20166.07595
1/1/2017 8:50,4.718,73.7,0.081,17,20676.4557
1/1/2017 9:00,4.704,71.8,0.083,20.15,21296.20253
1/1/2017 9:10,4.624,74.1,0.082,22.55,22043.5443
1/1/2017 9:20,4.629,74.8,0.083,24.3,22651.13924
1/1/2017 9:30,4.599,74,0.082,26.9,23131.13924
1/1/2017 9:40,4.524,74.7,0.081,28.19,23641.51899
1/1/2017 9:50,4.575,74.5,0.082,29.2,24668.35443
1/1/2017 10:00,5.124,73.7,0.076,29.23,25275.94937
1/1/2017 10:10,5.836,71.3,2.66,31.01,25920
1/1/2017 10:20,5.996,69.85,4.93,31.96,26393.92405
1/1/2017 10:30,6.22,68.81,4.924,32.42,26861.77215
1/1/2017 10:40,6.703,68.01,4.923,33.22,27511.89873
1/1/2017 10:50,6.993,66.14,4.918,33.41,28149.87342
1/1/2017 11:00,7.54,64.21,4.916,33.43,28714.93671
1/1/2017 11:10,8.22,61.9,4.916,33.89,29043.03797
1/1/2017 11:20,9.49,59.3,2.451,34.4,29261.77215
1/1/2017 11:30,10.65,56.03,0.084,35.29,29474.43038
1/1/2017 11:40,11.06,53.52,0.082,37.58,29523.03797
1/1/2017 11:50,12.4,53.26,0.08,43.46,29711.39241
1/1/2017 12:00,13.08,54.36,0.077,43.2,29644.55696
